Episodio,Epoch,Acción,CanastaActual,CanastaObjetivo,RecompensaObtenida,RecompensaAcumulada
1,1,go to Bakery,[],"['croissant', 'cheese', 'bagel']",0,0
1,1,take cake,['cake'],"['croissant', 'cheese', 'bagel']",10,10
1,1,checkout,['cake'],"['croissant', 'cheese', 'bagel']",-10,0
1,1,take bread,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",10,10
1,1,take cake,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",-1,9
1,1,go to Produce,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",0,9
1,1,go to Produce,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",0,9
1,1,go to Bakery,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",0,9
1,1,take cake,"['cake', 'bread']","['croissant', 'cheese', 'bagel']",-1,8
1,1,take bagel,"['cake', 'bread', 'bagel']","['croissant', 'cheese', 'bagel']",10,18
1,1,take bagel,"['cake', 'bread', 'bagel']","['croissant', 'cheese', 'bagel']",-1,17
1,1,take croissant,"['cake', 'bread', 'bagel', 'croissant']","['croissant', 'cheese', 'bagel']",10,27
1,1,take croissant,"['cake', 'bread', 'bagel', 'croissant']","['croissant', 'cheese', 'bagel']",-1,26
1,1,take bagel,"['cake', 'bread', 'bagel', 'croissant']","['croissant', 'cheese', 'bagel']",-1,25
1,1,checkout,"['cake', 'bread', 'bagel', 'croissant']","['croissant', 'cheese', 'bagel']",-10,15
2,1,go to Bakery,[],"['milk', 'bananas']",0,0
2,1,take bread,['bread'],"['milk', 'bananas']",10,10
2,1,go to Bakery,['bread'],"['milk', 'bananas']",0,10
2,1,take croissant,"['bread', 'croissant']","['milk', 'bananas']",10,20
2,1,checkout,"['bread', 'croissant']","['milk', 'bananas']",-10,10
2,1,go to Bakery,"['bread', 'croissant']","['milk', 'bananas']",0,10
2,1,checkout,"['bread', 'croissant']","['milk', 'bananas']",-10,0
2,1,take croissant,"['bread', 'croissant']","['milk', 'bananas']",-1,-1
2,1,take cake,"['bread', 'croissant', 'cake']","['milk', 'bananas']",10,9
2,1,go to Bakery,"['bread', 'croissant', 'cake']","['milk', 'bananas']",0,9
2,1,go to Produce,"['bread', 'croissant', 'cake']","['milk', 'bananas']",0,9
2,1,take bananas,"['bread', 'croissant', 'cake', 'bananas']","['milk', 'bananas']",10,19
2,1,go to Bakery,"['bread', 'croissant', 'cake', 'bananas']","['milk', 'bananas']",0,19
2,1,take cake,"['bread', 'croissant', 'cake', 'bananas']","['milk', 'bananas']",-1,18
2,1,take croissant,"['bread', 'croissant', 'cake', 'bananas']","['milk', 'bananas']",-1,17
3,1,go to Dairy,[],"['carrots', 'croissant']",0,0
3,1,go to Bakery,[],"['carrots', 'croissant']",0,0
3,1,take bread,['bread'],"['carrots', 'croissant']",10,10
3,1,take bread,['bread'],"['carrots', 'croissant']",-1,9
3,1,go to Produce,['bread'],"['carrots', 'croissant']",0,9
3,1,take bananas,"['bread', 'bananas']","['carrots', 'croissant']",10,19
3,1,take lettuce,"['bread', 'bananas', 'lettuce']","['carrots', 'croissant']",10,29
3,1,take carrots,"['bread', 'bananas', 'lettuce', 'carrots']","['carrots', 'croissant']",10,39
3,1,go to Bakery,"['bread', 'bananas', 'lettuce', 'carrots']","['carrots', 'croissant']",0,39
3,1,take croissant,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant']","['carrots', 'croissant']",10,49
3,1,take bagel,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant', 'bagel']","['carrots', 'croissant']",10,59
3,1,go to Bakery,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant', 'bagel']","['carrots', 'croissant']",0,59
3,1,take bread,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant', 'bagel']","['carrots', 'croissant']",-1,58
3,1,take bread,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant', 'bagel']","['carrots', 'croissant']",-1,57
3,1,take croissant,"['bread', 'bananas', 'lettuce', 'carrots', 'croissant', 'bagel']","['carrots', 'croissant']",-1,56
4,1,go to Produce,[],"['yogurt', 'cheese']",0,0
4,1,go to Produce,[],"['yogurt', 'cheese']",0,0
4,1,checkout,[],"['yogurt', 'cheese']",-10,-10
4,1,go to Produce,[],"['yogurt', 'cheese']",0,-10
4,1,go to Bakery,[],"['yogurt', 'cheese']",0,-10
4,1,take cake,['cake'],"['yogurt', 'cheese']",10,0
4,1,go to Bakery,['cake'],"['yogurt', 'cheese']",0,0
4,1,go to Dairy,['cake'],"['yogurt', 'cheese']",0,0
4,1,checkout,['cake'],"['yogurt', 'cheese']",-10,-10
4,1,take butter,"['cake', 'butter']","['yogurt', 'cheese']",10,0
4,1,take milk,"['cake', 'butter', 'milk']","['yogurt', 'cheese']",10,10
4,1,take milk,"['cake', 'butter', 'milk']","['yogurt', 'cheese']",-1,9
4,1,take butter,"['cake', 'butter', 'milk']","['yogurt', 'cheese']",-1,8
4,1,take cheese,"['cake', 'butter', 'milk', 'cheese']","['yogurt', 'cheese']",10,18
4,1,take cheese,"['cake', 'butter', 'milk', 'cheese']","['yogurt', 'cheese']",-1,17
5,1,go to Produce,[],"['bagel', 'bananas', 'bread']",0,0
5,1,go to Produce,[],"['bagel', 'bananas', 'bread']",0,0
5,1,go to Produce,[],"['bagel', 'bananas', 'bread']",0,0
5,1,take bananas,['bananas'],"['bagel', 'bananas', 'bread']",10,10
5,1,take carrots,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",10,20
5,1,go to Bakery,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",0,20
5,1,go to Dairy,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",0,20
5,1,go to Dairy,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",0,20
5,1,go to Produce,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",0,20
5,1,take bananas,"['bananas', 'carrots']","['bagel', 'bananas', 'bread']",-1,19
5,1,take apples,"['bananas', 'carrots', 'apples']","['bagel', 'bananas', 'bread']",10,29
5,1,take apples,"['bananas', 'carrots', 'apples']","['bagel', 'bananas', 'bread']",-1,28
5,1,take lettuce,"['bananas', 'carrots', 'apples', 'lettuce']","['bagel', 'bananas', 'bread']",10,38
5,1,take bananas,"['bananas', 'carrots', 'apples', 'lettuce']","['bagel', 'bananas', 'bread']",-1,37
5,1,go to Dairy,"['bananas', 'carrots', 'apples', 'lettuce']","['bagel', 'bananas', 'bread']",0,37
6,1,go to Dairy,[],"['carrots', 'cake', 'bananas']",0,0
6,1,take cheese,['cheese'],"['carrots', 'cake', 'bananas']",10,10
6,1,go to Bakery,['cheese'],"['carrots', 'cake', 'bananas']",0,10
6,1,take bread,"['cheese', 'bread']","['carrots', 'cake', 'bananas']",10,20
6,1,take croissant,"['cheese', 'bread', 'croissant']","['carrots', 'cake', 'bananas']",10,30
6,1,take croissant,"['cheese', 'bread', 'croissant']","['carrots', 'cake', 'bananas']",-1,29
6,1,go to Bakery,"['cheese', 'bread', 'croissant']","['carrots', 'cake', 'bananas']",0,29
6,1,take bagel,"['cheese', 'bread', 'croissant', 'bagel']","['carrots', 'cake', 'bananas']",10,39
6,1,take cake,"['cheese', 'bread', 'croissant', 'bagel', 'cake']","['carrots', 'cake', 'bananas']",10,49
6,1,go to Produce,"['cheese', 'bread', 'croissant', 'bagel', 'cake']","['carrots', 'cake', 'bananas']",0,49
6,1,checkout,"['cheese', 'bread', 'croissant', 'bagel', 'cake']","['carrots', 'cake', 'bananas']",-10,39
6,1,take lettuce,"['cheese', 'bread', 'croissant', 'bagel', 'cake', 'lettuce']","['carrots', 'cake', 'bananas']",10,49
6,1,go to Dairy,"['cheese', 'bread', 'croissant', 'bagel', 'cake', 'lettuce']","['carrots', 'cake', 'bananas']",0,49
6,1,go to Bakery,"['cheese', 'bread', 'croissant', 'bagel', 'cake', 'lettuce']","['carrots', 'cake', 'bananas']",0,49
6,1,go to Dairy,"['cheese', 'bread', 'croissant', 'bagel', 'cake', 'lettuce']","['carrots', 'cake', 'bananas']",0,49
7,1,checkout,[],"['milk', 'carrots']",-10,-10
7,1,go to Produce,[],"['milk', 'carrots']",0,-10
7,1,take lettuce,['lettuce'],"['milk', 'carrots']",10,0
7,1,go to Dairy,['lettuce'],"['milk', 'carrots']",0,0
7,1,checkout,['lettuce'],"['milk', 'carrots']",-10,-10
7,1,go to Produce,['lettuce'],"['milk', 'carrots']",0,-10
7,1,go to Bakery,['lettuce'],"['milk', 'carrots']",0,-10
7,1,take bread,"['lettuce', 'bread']","['milk', 'carrots']",10,0
7,1,take bread,"['lettuce', 'bread']","['milk', 'carrots']",-1,-1
7,1,take cake,"['lettuce', 'bread', 'cake']","['milk', 'carrots']",10,9
7,1,go to Bakery,"['lettuce', 'bread', 'cake']","['milk', 'carrots']",0,9
7,1,go to Dairy,"['lettuce', 'bread', 'cake']","['milk', 'carrots']",0,9
7,1,go to Bakery,"['lettuce', 'bread', 'cake']","['milk', 'carrots']",0,9
7,1,go to Bakery,"['lettuce', 'bread', 'cake']","['milk', 'carrots']",0,9
7,1,take croissant,"['lettuce', 'bread', 'cake', 'croissant']","['milk', 'carrots']",10,19
8,1,checkout,[],"['cheese', 'yogurt']",-10,-10
8,1,checkout,[],"['cheese', 'yogurt']",-10,-20
8,1,checkout,[],"['cheese', 'yogurt']",-10,-30
8,1,go to Produce,[],"['cheese', 'yogurt']",0,-30
8,1,go to Bakery,[],"['cheese', 'yogurt']",0,-30
8,1,take cake,['cake'],"['cheese', 'yogurt']",10,-20
8,1,take cake,['cake'],"['cheese', 'yogurt']",-1,-21
8,1,take bagel,"['cake', 'bagel']","['cheese', 'yogurt']",10,-11
8,1,take bread,"['cake', 'bagel', 'bread']","['cheese', 'yogurt']",10,-1
