Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,1,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,1,X,4,"[' ', 'X', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",0,0
1,1,X,6,"[' ', 'X', ' ', 'O', 'X', ' ', 'X', 'O', ' ']",0,0
1,1,X,0,"['X', 'X', ' ', 'O', 'X', 'O', 'X', 'O', ' ']",0,0
1,1,X,2,"['X', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'O']",0,0
1,2,O,2,"[' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ']",-100,-100
1,2,O,5,"[' ', ' ', 'O', ' ', ' ', 'O', ' ', 'X', ' ']",0,-100
1,2,O,6,"['X', ' ', 'O', ' ', ' ', 'O', 'O', 'X', ' ']",0,-100
1,2,O,4,"['X', ' ', 'O', ' ', 'O', 'O', 'O', 'X', 'X']",0,-100
1,3,X,3,"[' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ']",0,0
1,3,X,4,"[' ', 'O', ' ', 'X', 'X', ' ', ' ', ' ', ' ']",0,0
1,3,X,7,"[' ', 'O', 'O', 'X', 'X', ' ', ' ', 'X', ' ']",100,100
1,3,X,0,"['X', 'O', 'O', 'X', 'X', ' ', 'O', 'X', ' ']",0,100
1,3,X,8,"['X', 'O', 'O', 'X', 'X', 'O', 'O', 'X', 'X']",-100,0
1,4,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",-100,-100
1,4,O,1,"[' ', 'O', ' ', ' ', ' ', 'O', 'X', ' ', ' ']",0,-100
1,4,O,8,"['X', 'O', ' ', ' ', ' ', 'O', 'X', ' ', 'O']",0,-100
1,4,O,3,"['X', 'O', ' ', 'O', 'X', 'O', 'X', ' ', 'O']",0,-100
1,4,O,2,"['X', 'O', 'O', 'O', 'X', 'O', 'X', 'X', 'O']",0,-100
1,5,X,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ']",0,0
1,5,X,0,"['X', ' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ']",0,0
1,5,X,1,"['X', 'X', 'O', ' ', ' ', ' ', 'X', ' ', 'O']",-100,-100
1,6,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,6,O,1,"['O', 'O', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",0,0
1,6,O,6,"['O', 'O', ' ', 'X', 'X', ' ', 'O', ' ', ' ']",0,0
1,6,O,8,"['O', 'O', 'X', 'X', 'X', ' ', 'O', ' ', 'O']",0,0
1,7,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,7,X,7,"[' ', ' ', 'X', 'O', ' ', ' ', ' ', 'X', ' ']",0,0
1,7,X,4,"[' ', 'O', 'X', 'O', 'X', ' ', ' ', 'X', ' ']",0,0
1,7,X,5,"[' ', 'O', 'X', 'O', 'X', 'X', ' ', 'X', 'O']",-100,-100
1,7,X,6,"['O', 'O', 'X', 'O', 'X', 'X', 'X', 'X', 'O']",0,-100
1,8,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,8,O,8,"['O', ' ', ' ', ' ', ' ', ' ', ' ', 'X', 'O']",0,0
1,8,O,4,"['O', ' ', ' ', ' ', 'O', ' ', 'X', 'X', 'O']",0,0
1,9,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,9,X,6,"[' ', 'O', 'X', ' ', ' ', ' ', 'X', ' ', ' ']",0,0
1,9,X,4,"[' ', 'O', 'X', ' ', 'X', ' ', 'X', 'O', ' ']",0,0
1,10,O,1,"[' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,10,O,5,"['X', 'O', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0,0
1,10,O,2,"['X', 'O', 'O', 'X', ' ', 'O', ' ', ' ', ' ']",0,0
1,10,O,4,"['X', 'O', 'O', 'X', 'O', 'O', ' ', ' ', 'X']",0,0
1,11,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,11,X,8,"[' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ', 'X']",0,0
1,11,X,6,"[' ', 'O', 'X', ' ', ' ', 'O', 'X', ' ', 'X']",0,0
1,11,X,0,"['X', 'O', 'X', ' ', ' ', 'O', 'X', 'O', 'X']",0,0
1,12,O,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O']",0,0
1,12,O,4,"[' ', ' ', ' ', ' ', 'O', ' ', 'X', ' ', 'O']",0,0
1,12,O,2,"[' ', ' ', 'O', ' ', 'O', ' ', 'X', 'X', 'O']",0,0
1,12,O,1,"[' ', 'O', 'O', 'X', 'O', ' ', 'X', 'X', 'O']",-100,-100
