Epoch,Episodio,Paso,StateIdx,Accion,NextStateIdx,Reward,Done,Epsilon,LLM_Fallback
1,1,1,0,0,0,0.0,False,1.0,False
1,1,2,0,3,0,0.0,False,0.999981,False
1,1,3,0,2,1,0.0,False,0.999962,False
1,1,4,1,2,2,0.0,False,0.999943,False
1,1,5,2,3,2,0.0,False,0.999924,False
1,1,6,2,3,2,0.0,False,0.999905,False
1,1,7,2,1,6,0.0,False,0.999886,False
1,1,8,6,3,2,0.0,False,0.999867,False
1,1,9,2,1,6,0.0,False,0.999848,False
1,1,10,6,3,2,0.0,False,0.999829,False
1,1,11,2,3,2,0.0,False,0.99981,False
1,1,12,2,0,1,0.0,False,0.999791,False
1,1,13,1,0,0,0.0,False,0.999772,False
1,1,14,0,2,1,0.0,False,0.999753,False
1,1,15,1,3,1,0.0,False,0.999734,False
1,1,16,1,2,2,0.0,False,0.999715,False
1,1,17,2,2,3,0.0,False,0.999696,False
1,1,18,3,3,3,0.0,False,0.999677,False
1,1,19,3,3,3,0.0,False,0.999658,False
1,1,20,3,0,2,0.0,False,0.999639,False
1,1,21,2,0,1,0.0,False,0.99962,False
1,1,22,1,1,5,0.0,True,0.999601,False
1,2,1,0,3,0,0.0,False,0.999582,False
1,2,2,0,1,4,0.0,False,0.999563,False
1,2,3,4,0,4,0.0,False,0.999544,False
1,2,4,4,3,0,0.0,False,0.999525,False
1,2,5,0,2,1,0.0,False,0.999506,False
1,2,6,1,3,1,0.0,False,0.999487,False
1,2,7,1,1,5,0.0,True,0.999468,False
1,3,1,0,1,4,0.0,False,0.999449,False
1,3,2,4,1,8,0.0,True,0.99943,False
1,4,1,0,1,4,0.0,False,0.999411,False
1,4,2,4,1,8,0.0,False,0.999392,False
1,4,3,8,1,12,0.0,True,0.999373,False
1,5,1,0,1,4,0.0,False,0.999354,False
1,5,2,4,3,0,0.0,False,0.999335,False
1,5,3,0,3,0,0.0,False,0.999316,False
1,5,4,0,1,4,0.0,False,0.999297,False
1,5,5,4,0,4,0.0,False,0.999278,False
1,5,6,4,0,4,0.0,False,0.999259,False
1,5,7,4,1,8,0.0,False,0.99924,False
1,5,8,8,3,4,0.0,False,0.999221,False
1,5,9,4,3,0,0.0,False,0.999202,False
1,5,10,0,0,0,0.0,False,0.999183,False
1,5,11,0,2,1,0.0,False,0.999164,False
1,5,12,1,0,0,0.0,False,0.999145,False
1,5,13,0,3,0,0.0,False,0.999126,False
1,5,14,0,3,0,0.0,False,0.999107,False
1,5,15,0,2,1,0.0,False,0.999088,False
1,5,16,1,3,1,0.0,False,0.999069,False
1,5,17,1,0,0,0.0,False,0.99905,False
1,5,18,0,1,4,0.0,False,0.999031,False
1,5,19,4,0,4,0.0,False,0.999012,False
1,5,20,4,0,4,0.0,False,0.998993,False
1,5,21,4,1,8,0.0,False,0.998974,False
1,5,22,8,2,9,0.0,False,0.998955,False
1,5,23,9,3,5,0.0,False,0.998936,False
1,5,24,5,3,1,0.0,False,0.998917,False
1,5,25,1,2,2,0.0,False,0.998898,False
1,5,26,2,2,3,0.0,False,0.998879,False
1,5,27,3,1,7,0.0,False,0.99886,False
1,5,28,7,0,6,0.0,False,0.998841,False
1,5,29,6,2,7,0.0,False,0.998822,False
1,5,30,7,2,7,0.0,False,0.998803,False
1,5,31,7,2,7,0.0,False,0.998784,False
1,5,32,7,3,3,0.0,False,0.998765,False
1,5,33,3,2,3,0.0,False,0.998746,False
1,5,34,3,0,2,0.0,False,0.998727,False
1,5,35,2,3,2,0.0,False,0.998708,False
1,5,36,2,0,1,0.0,False,0.998689,False
1,5,37,1,0,0,0.0,False,0.99867,False
1,5,38,0,0,0,0.0,False,0.998651,False
1,5,39,0,3,0,0.0,False,0.998632,False
1,5,40,0,2,1,0.0,False,0.998613,False
1,5,41,1,1,5,0.0,False,0.998594,False
1,5,42,5,1,9,0.0,False,0.998575,False
