Epoch,Episodio,Estado,Accion,EstadoSig,Reward,RewardAcum,Done
1,1,0,0,0,0,0.0,False
1,1,0,0,0,0,0.0,False
1,1,0,3,0,0,0.0,False
1,1,0,3,0,0,0.0,False
1,1,0,2,1,0,0.0,False
1,1,1,1,5,0,0.0,True
1,2,0,1,4,0,0.0,False
1,2,4,3,0,0,0.0,False
1,2,0,0,0,0,0.0,False
1,2,0,0,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,1,4,0,0.0,False
1,2,4,0,4,0,0.0,False
1,2,4,2,5,0,0.0,True
1,3,0,3,0,0,0.0,False
1,3,0,3,0,0,0.0,False
1,3,0,2,1,0,0.0,False
1,3,1,2,2,0,0.0,False
1,3,2,2,3,0,0.0,False
1,3,3,2,3,0,0.0,False
1,3,3,2,3,0,0.0,False
1,3,3,0,2,0,0.0,False
1,3,2,1,6,0,0.0,False
1,3,6,3,2,0,0.0,False
1,3,2,3,2,0,0.0,False
1,3,2,0,1,0,0.0,False
1,3,1,2,2,0,0.0,False
1,3,2,1,6,0,0.0,False
1,3,6,3,2,0,0.0,False
1,3,2,1,6,0,0.0,False
1,3,6,3,2,0,0.0,False
1,3,2,0,1,0,0.0,False
1,3,1,2,2,0,0.0,False
1,3,2,0,1,0,0.0,False
1,3,1,0,0,0,0.0,False
1,3,0,1,4,0,0.0,False
1,3,4,1,8,0,0.0,False
1,3,8,0,8,0,0.0,False
1,3,8,0,8,0,0.0,False
1,3,8,2,9,0,0.0,False
1,3,9,2,10,0,0.0,False
1,3,10,0,9,0,0.0,False
1,3,9,0,8,0,0.0,False
1,3,8,0,8,0,0.0,False
1,3,8,2,9,0,0.0,False
1,3,9,1,13,0,0.0,False
1,3,13,0,12,0,0.0,True
1,4,0,1,4,0,0.0,False
1,4,4,3,0,0,0.0,False
1,4,0,0,0,0,0.0,False
1,4,0,2,1,0,0.0,False
1,4,1,2,2,0,0.0,False
1,4,2,2,3,0,0.0,False
1,4,3,3,3,0,0.0,False
1,4,3,2,3,0,0.0,False
1,4,3,1,7,0,0.0,True
1,5,0,1,4,0,0.0,False
1,5,4,2,5,0,0.0,True
1,6,0,0,0,0,0.0,False
1,6,0,3,0,0,0.0,False
1,6,0,1,4,0,0.0,False
1,6,4,1,8,0,0.0,False
1,6,8,0,8,0,0.0,False
1,6,8,1,12,0,0.0,True
1,7,0,3,0,0,0.0,False
1,7,0,2,1,0,0.0,False
1,7,1,3,1,0,0.0,False
1,7,1,3,1,0,0.0,False
1,7,1,0,0,0,0.0,False
1,7,0,1,4,0,0.0,False
1,7,4,3,0,0,0.0,False
1,7,0,0,0,0,0.0,False
1,7,0,1,4,0,0.0,False
1,7,4,3,0,0,0.0,False
1,7,0,0,0,0,0.0,False
1,7,0,1,4,0,0.0,False
1,7,4,1,8,0,0.0,False
1,7,8,0,8,0,0.0,False
1,7,8,2,9,0,0.0,False
1,7,9,3,5,0,0.0,True
1,8,0,0,0,0,0.0,False
1,8,0,0,0,0,0.0,False
1,8,0,2,1,0,0.0,False
1,8,1,1,5,0,0.0,True
1,9,0,2,1,0,0.0,False
1,9,1,3,1,0,0.0,False
1,9,1,2,2,0,0.0,False
1,9,2,0,1,0,0.0,False
1,9,1,0,0,0,0.0,False
1,9,0,3,0,0,0.0,False
1,9,0,0,0,0,0.0,False
1,9,0,2,1,0,0.0,False
1,9,1,3,1,0,0.0,False
1,9,1,2,2,0,0.0,False
1,9,2,1,6,0,0.0,False
1,9,6,2,7,0,0.0,True
1,10,0,2,1,0,0.0,False
1,10,1,0,0,0,0.0,False
1,10,0,1,4,0,0.0,False
1,10,4,3,0,0,0.0,False
1,10,0,0,0,0,0.0,False
1,10,0,1,4,0,0.0,False
1,10,4,0,4,0,0.0,False
1,10,4,2,5,0,0.0,True
1,11,0,2,1,0,0.0,False
1,11,1,0,0,0,0.0,False
1,11,0,0,0,0,0.0,False
